cohort	sample_id	platform	primary_probe	il6r_primary	il6r_probe_mean	inferred_group
GSE17537	GSM437287	GPL570	226333_at	6.67398963	5.88045017633333	normal_or_adjacent
GSE17537	GSM437288	GPL570	226333_at	5.884946206	5.40680473033333	normal_or_adjacent
GSE17537	GSM437289	GPL570	226333_at	7.004137331	6.18432487933333	normal_or_adjacent
GSE17537	GSM437290	GPL570	226333_at	6.171986085	5.53979396833333	normal_or_adjacent
GSE17537	GSM437291	GPL570	226333_at	6.335098294	5.82441471233333	normal_or_adjacent
GSE17537	GSM437292	GPL570	226333_at	5.702324594	5.16612291666667	normal_or_adjacent
GSE17537	GSM437293	GPL570	226333_at	7.242067634	6.63052492966667	normal_or_adjacent
GSE17537	GSM437294	GPL570	226333_at	6.33895824	5.70824605933333	normal_or_adjacent
GSE17537	GSM437295	GPL570	226333_at	5.677598687	5.43162427533333	normal_or_adjacent
GSE17537	GSM437296	GPL570	226333_at	6.123020195	5.62526681166667	normal_or_adjacent
GSE17537	GSM437297	GPL570	226333_at	7.06411409	6.15337511733333	normal_or_adjacent
GSE17537	GSM437298	GPL570	226333_at	6.88391332	6.16569689533333	normal_or_adjacent
GSE17537	GSM437299	GPL570	226333_at	7.216919599	6.28538276966667	normal_or_adjacent
GSE17537	GSM437300	GPL570	226333_at	6.417376342	5.85439086933333	normal_or_adjacent
GSE17537	GSM437301	GPL570	226333_at	6.553000218	5.86851956	normal_or_adjacent
GSE17537	GSM437302	GPL570	226333_at	5.757899749	5.360754421	normal_or_adjacent
GSE17537	GSM437303	GPL570	226333_at	6.132879519	5.36192237366667	normal_or_adjacent
GSE17537	GSM437304	GPL570	226333_at	8.824865388	7.617737193	normal_or_adjacent
GSE17537	GSM437305	GPL570	226333_at	6.838522107	5.990710397	normal_or_adjacent
GSE17537	GSM437306	GPL570	226333_at	8.404992814	7.27996806433333	normal_or_adjacent
GSE17537	GSM437307	GPL570	226333_at	6.687013747	5.91462364466667	normal_or_adjacent
GSE17537	GSM437308	GPL570	226333_at	6.303422663	5.53740835	normal_or_adjacent
GSE17537	GSM437309	GPL570	226333_at	6.850754584	6.08601879533333	normal_or_adjacent
GSE17537	GSM437310	GPL570	226333_at	5.731272946	5.28583270966667	normal_or_adjacent
GSE17537	GSM437311	GPL570	226333_at	5.835294519	5.37389313066667	normal_or_adjacent
